Epoch,trainLoss,validationLoss,validationAccuracy
9,0.8475030064582825,0.855989933013916,0.45
19,0.8297544717788696,0.8370569944381714,0.45
29,0.8094295263290405,0.8158365488052368,0.45
39,0.7889807224273682,0.7946226000785828,0.45
49,0.7692354321479797,0.7741857767105103,0.45
59,0.7504457831382751,0.7547577619552612,0.45
69,0.7326635122299194,0.7363806366920471,0.45
79,0.7158676385879517,0.7190302610397339,0.45
89,0.700014591217041,0.702660322189331,0.475
99,0.6850529313087463,0.6872165203094482,0.5
109,0.6709288358688354,0.6726438999176025,0.525
119,0.6575896739959717,0.6588872671127319,0.525
129,0.6449845433235168,0.6458944082260132,0.55
139,0.633064866065979,0.6336138248443604,0.55
149,0.6217843294143677,0.6219977140426636,0.575
159,0.6110987067222595,0.6110005378723145,0.6
169,0.6009671688079834,0.6005789041519165,0.625
179,0.5913504362106323,0.5906927585601807,0.65
189,0.5822130441665649,0.5813043713569641,0.725
199,0.5735210180282593,0.5723786354064941,0.825
209,0.5652433633804321,0.5638830065727234,0.825
219,0.5573510527610779,0.5557870864868164,0.825
229,0.5498170852661133,0.5480630993843079,0.825
239,0.5426172614097595,0.5406850576400757,0.825
249,0.5357286334037781,0.5336291193962097,0.825
259,0.5291298627853394,0.5268733501434326,0.85
269,0.52280193567276,0.5203974843025208,0.875
279,0.5167266726493835,0.5141828656196594,0.9
289,0.5108882188796997,0.508212149143219,0.9
299,0.5052706599235535,0.5024699568748474,0.9
309,0.4998609125614166,0.49694132804870605,0.9
319,0.49464574456214905,0.49161314964294434,0.9
329,0.48961344361305237,0.4864729344844818,0.925
339,0.48475319147109985,0.4815095067024231,0.925
349,0.4800552427768707,0.4767124056816101,0.925
359,0.47550973296165466,0.47207173705101013,0.925
369,0.47110867500305176,0.467579185962677,0.925
379,0.4668441414833069,0.46322575211524963,0.925
389,0.46270856261253357,0.45900440216064453,0.925
399,0.4586954116821289,0.4549080729484558,0.925
409,0.4547983705997467,0.45093002915382385,0.925
419,0.45101165771484375,0.4470643997192383,0.925
429,0.4473297595977783,0.44330543279647827,0.95
439,0.4437478184700012,0.4396481513977051,0.975
449,0.4402610659599304,0.4360874593257904,0.975
459,0.43686509132385254,0.43261900544166565,0.975
469,0.4335559010505676,0.42923861742019653,0.975
479,0.43032950162887573,0.4259421229362488,0.975
489,0.427182674407959,0.4227261543273926,0.975
499,0.42411190271377563,0.4195871949195862,0.975
509,0.42111387848854065,0.41652172803878784,0.975
519,0.41818585991859436,0.41352710127830505,0.975
529,0.4153249263763428,0.4106004238128662,0.975
539,0.41252875328063965,0.4077388346195221,0.975
549,0.40979433059692383,0.4049398899078369,0.975
559,0.4071199297904968,0.4022013247013092,0.975
569,0.40450310707092285,0.3995206952095032,0.975
579,0.40194177627563477,0.3968961238861084,1.0
589,0.39943403005599976,0.39432549476623535,1.0
599,0.3969777226448059,0.3918069005012512,1.0
609,0.39457136392593384,0.3893386721611023,1.0
619,0.39221325516700745,0.3869188129901886,1.0
629,0.38990160822868347,0.3845458924770355,1.0
639,0.38763517141342163,0.38221845030784607,1.0
649,0.3854122459888458,0.37993496656417847,1.0
659,0.3832316994667053,0.3776938319206238,1.0
669,0.38109201192855835,0.375494122505188,1.0
679,0.37899190187454224,0.37333422899246216,1.0
689,0.3769301474094391,0.37121301889419556,1.0
699,0.3749057650566101,0.3691294491291046,1.0
709,0.3729175925254822,0.36708229780197144,1.0
719,0.3709644675254822,0.36507052183151245,1.0
729,0.3690454363822937,0.36309316754341125,1.0
739,0.36715978384017944,0.3611491918563843,1.0
